광역자치단체명,축제명,축제유형,개최기간,개최장소
서울특별시 ,놀러와 대학로! 차 없는 거리 축제,문화예술,미정,대학로 일원
서울특별시,2024 웰컴대학로 축제(가칭),문화예술,미정,대학로 일원
서울특별시,제16회 정순왕후 문화제,전통역사,4월중,숭인근린공원(동망봉)
서울특별시,궁중과 사대부가 전통음식축제,전통역사,10월중,운현궁
서울특별시,종로청계야 놀자,문화예술,10월중,청계관광특구 내
서울특별시,돈화문로 문화축제,문화예술,10월중,돈화문로 일대
서울특별시,북촌공방축제,문화예술,10월중,서울특별시교육박물관 마당
서울특별시,정동야행축제,문화예술,05.24.~05.25.,정동 일대
서울특별시,2023 서울특별시장미축제,문화예술,5월중,중랑장미공원
서울특별시,2023 용마폭포문화예술축제,문화예술,10월중,용마폭포공원
서울특별시,2024 성북천 봄꽃축제,기타,04.12~04.13(예정),성북천상점가일원
서울특별시,제13회 유러피안 크리스마스 마켓,문화예술,12월 중(미정) 2일간,한성대입구역 부근
서울특별시,사각사각 가을축제,문화예술,10월 중(2일간),잠실한강공원 사각사각플레이스
부산,조선통신사축제,전통역사,5.3.~5.5.,광복로 일원
부산,부산원도심활성화축제,문화예술,5월중,중구_서구 일원
부산,부산바다축제,문화예술,7월말,다대포해수욕장 등
부산,부산국제록페스티벌,문화예술,10월중,삼락생태공원
부산,부산불꽃축제,문화예술,11월중,광안리해수욕장 일원
부산,해운대북극곰축제,생태자연,12월중,해운대해수욕장
부산,부산 시민의종 타종행사,문화예술,12.31.,용두산공원
부산,광복로 연등문화제,문화예술,5월중,광복로 일원
부산,유라리건맥축제,지역특산물,9월중,유라리광장 일원
부산,부산자갈치축제,지역특산물,10월중,자갈치시장 일원
부산,보수동책방골목 문화축제,문화예술,10월중,보수동책방골목 일원
부산,광복로 겨울빛 트리축제,문화예술,24.12.~25.1.,광복로 일원
부산,부산고등어축제,지역특산물,10월중,송도해수욕장
부산,부산 서구 의료관광축제,기타(지역산업),10월중,송도오션파크
부산,부산차이나타운문화축제,문화예술,10.18.~10.20.,부산역_ 차이나타운 일원
부산,동구 3.1절 기념 행사,문화예술,3.9.,시민마당 등
부산,웹툰이바구길축제,문화예술,10월중,범일동 성북시장(웹툰이바구길) 일원
부산,영도다리축제,문화예술,10월중,아미르공원
부산,영도커피페스티벌,문화예술,5.24.~5.26.,아미르공원
부산,서면메디컬스트리트축제 ,기타,10월중 ,서면 메디컬스트리트일원
부산,서면 빛 축제 ,주민화합,24.10.~25.1.,서면1번가 일원
부산,동래 3.1만세운동재현행사,문화예술,3.1.,내성초 및 동래시장 일원 만세거리
부산,UN평화축제,문화예술,10.19.~10.20.,평화공원 일원
부산,구포장터 3.1만세운동기념행사,문화예술,3.29.,구포역 광장 등
부산,낙동강 구포나루 축제,문화예술,10월중(3일간),화명생태공원 연꽃단지 일원
부산,해운대 달맞이온천축제,전통역사,2.22.~2.24.,해운대해수욕장 일원 
부산,해운대모래축제,생태자연,5.24.~5.27.,해운대해수욕장 일원 
부산,해운대 해양레저축제,문화예술,8.24.~8.25.,송정해수욕장 일원
부산,해운대 빛축제,문화예술,12월중,해운대해수욕장_ 구남로_ 온천길_ 시장길 일원 
부산,다대포어항문화축제,전통역사,10월중,다대포항 공판장 일원
부산,감천문화마을골목축제,문화예술,10월중,감천문화마을 일원
부산,금정산성축제,문화예술,5.24.~5.26.,금정산성광장 및 금정산 일원
부산, 부산국제공연예술제,문화예술,9월중,부산대학로 및 금정구 일원
부산,회동호 가을빛 축제,문화예술,10월중,회동호 일원
부산,라라라 페스티벌,기타,10월중,온천천
부산,연제고분판타지축제,전통역사,3.22.~3.24.,온천천시민공원_ 연산동 고분군
부산,명지시장 전어축제,특산물,8월말,명지시장 일원
부산,대저토마토축제,특산물,3.23.~3.24.,강서체육공원
부산,삼락벚꽃축제,문화예술,3.30.~31.,삼락생태공원 일원_ 낙동제방
부산,기장멸치축제,특산물,4월중,대변항 일원
부산,기장미역다시마 축제,특산물,4월중,이동항 일원
부산,정관생태하천학습문화축제,문화예술,6월중(하루),정관읍 좌광천 일원_ 중앙공원_윗골공원_구목정공원
부산,기장갯마을축제,주민화합,7~8월중,일광해수욕장
부산,기장붕장어축제,특산물,9~10월중,신암항 일원
부산,차성문화제,문화예술,10월중,기장현대차드림볼파크(미정)
대구광역시,제46회 대구광역시약령시한방문화축제,전통역사,05.08.~05.12.,대구광역시약령시 일원
대구광역시,파워풀대구광역시페스티벌,문화예술,05.11.~05.12.,국채보상로 일원
대구광역시,대구광역시생활문화제 ,문화예술,05.11.~05.12.,생활문화센터 등 대구광역시 일원
대구광역시,형형색색 달구벌 관등놀이,전통역사,5월경,대구광역시 전역
대구광역시,제18회 대구광역시국제뮤지컬페스티벌,문화예술,06.21.~07.08.,대구광역시오페라하우스 및 공연장
대구광역시,대구광역시치맥페스티벌,기타(산업육성),7월초(5일간),두류공원
대구광역시,제21회 대구광역시국제오페라축제,문화예술,10.04.~11.08.,대구광역시오페라하우스 및 대구광역시 일원
대구광역시,대구광역시콘텐츠페어,기타(산업육성),10.11.~10.12.,엑스코
대구광역시,팔공산 산중전통장터 승시 축제,전통역사,10월중,동화사
대구광역시,대구광역시포크페스티벌,문화예술,10월중,코오롱야외음악당
대구광역시,월드오케스트라페스티벌,문화예술,10~11월중,대구광역시콘서트하우스
대구광역시,제35회 동성로축제,기타,05.10.~05.12.,동성로 일원
대구광역시,대구광역시 문화유산 야행,문화예술,08.30.~08.31.(예정),경상감영
대구광역시,제11회 대구광역시스트리트모터페스티벌,기타,9월중,남산동 자동차골목 일원
대구광역시,제19회 패션주얼리위크,문화예술,9월중,대구광역시패션주얼리특구 일원(교동~동성로 일대)
대구광역시,서문시장글로벌대축제,전통역사,10월중,서문시장 일대
대구광역시,교동시장한마음축제,전통역사,10월중,교동시장 일대
대구광역시,김광석길페스티벌,문화예술,10월중,김광석거리 일원
대구광역시,대구광역시화교중화문화축제,문화예술,10월중,대구광역시화교소학교_ 종로거리 일원
대구광역시,제13회 팔공산 벚꽃축제,생태자연,4월중,팔공산 동화지구
대구광역시,제23회 팔공산 단풍축제,생태자연,10월중,팔공산 갓바위지구
대구광역시,제29회 대덕제 「대구광역시앞산축제」,문화예술,05.25.~05.26.,남구구민체육광장 일원
대구광역시,제12회 로드페스티벌,문화예술,6월 예정,대명공연거리
대구광역시,2024 대구광역시할로윈축제,문화예술,10월 예정,안지랑곱창골목
대구광역시,제4회 떡볶이 페스티벌,문화예술,5월중,DGB대구광역시은행파크
대구광역시,2024 금호강 바람소리길 축제,문화예술,9~10월중,금호강 산격대교 하단
대구광역시,수성못페스티벌,문화예술,09.22.~09.24.,수성못
대구광역시,장미꽃 필 무렵,생태자연,05.17.~05.19.,이곡장미공원 등
대구광역시,선사문화체험축제,전통역사,5월중,한샘청동공원 등
대구광역시,희망달서 대축제,기타(주민화합),10월중,달서아트센터 일원
대구광역시,제28회 비슬산 참꽃 문화제,문화예술,4월중(2일),비슬산 일원
대구광역시,2024 yes! 키즈존,문화예술,5월_ 10월중(각1일),강정보 디아크 광장_ 국립대구광역시과학관
인천,송도 바람축제,문화예술,5월 중,송도 달빛축제공원 일원
인천,청라 페스티벌,문화예술,5월 중,청라 호수공원 일원
인천,영종 세계음식축제,문화예술,9월 중,영종 씨사이드파크 일원
인천,청라 와인페스티벌,문화예술,10월 중,청라 호수공원 일원
인천,2024년 인천대공원 벚꽃축제,문화예술,4. 6. ~ 4. 7.(예정),인천대공원
인천,제4회 인천도시재생축제,기타,10월 중 (협의중),동구 일원
인천,인천펜타포트음악축제,문화예술,5월~9월,송도달빛축제공원 등 인천전역
인천,INK콘서트,문화예술,9월,인천문학경기도장
인천,동인천 낭만축제,주민화합,10월,동인천역 북광장
인천,(가제) 상플 1·8부두 야시장,주민화합,6월 예정,상상플랫폼
인천,인천개항장문화재야행,전통역사,6월_ 10월,중구 개항장 일대
인천,연안부두축제,문화예술,10월중,인천종합어시장
인천,2024 가족의달 어린이축제,문화예술,5. 4. ~ 5.,송월동 동화마을 일원 / 영종역사관 일원
인천,2024 자유공원축제,문화예술,5월,자유공원일원
인천,2024 동인천고고축제,문화예술,5월,학생문화회관 일원
인천,2024 크리스마스 트리축제,문화예술,11월~2025년 1월,신포문화의거리 / 영종국제도시 일원
인천,제35회 화도진축제,전통역사_ 문화예술,5월 중,화도진공원_ 동인천역북광장 일원
인천,화수부두 축제,특산물_ 기타,10월 중,화수부두 일원
인천 ,2024. 수봉산 문화공연,기타(주민화합 등),4월 중,수봉공원 정상부(예정)
인천 ,제4회 수봉산페스티벌,기타(주민화합 등),9월 중,수봉공원 인공폭포(예정)
인천 ,제21회 미추홀미디어문화축제,기타(주민화합 등),9월 중 ,주안역 남광장(예정)
인천 ,크리스마스트리 축제,기타(주민화합 등),12월 중,미추홀구 관내(예정)
인천,제12회 연수 능허대 문화축제,기타,미정,관내공원
인천,제5회 新송도해변축제,기타,미정,관내공원
인천,제24회 소래포구축제,생태자연,9~10월중,소래포구 일원
인천,주민자치 축제 한마당,기타(주민화합),9~10월중,만수동 일원(예정)
인천,2024년 제28회 부평풍물대축제,문화예술,09.27.~09.29.,부평대로 등 부평일원
인천,정서진 해넘이 행사,기타,12.1.~12.31.,정서진
인천,고려산 진달래꽃구경,생태자연,4월중,강화군 고려산일원
인천,삼랑성역사문화축제,전통역사,10월중,전등사 일원
인천,강화문화재야행,전통역사,9월중,강화읍 일원
인천,강화 화개정원 축제,생태자연,10월 중,화개정원 일원
인천,연평꽃게걷기축제,특산물,06.10.~06.11.,연평면 일원
인천,영흥풍어기원제,전통역사,03.04.,영흥면 일원
인천,섬마을밴드음악축제,문화예술,10.01.,옹진군 일원
인천,제12회 장봉도 벚꽃축제,생태자연,4.13.(변경가능),옹암해수욕장 일원
광주,아트피크닉,문화예술,4월~11월(예정),시청 야외광장_ 중외공원 등
광주,대인예술시장,문화예술,5월~12월(예정),대인예술시장내
광주,제12회 도서관문화마당,문화예술,05.10.~05.11.,시청 시민광장
광주,제16회 세계인의 날 기념행사,기타(주민화합 등),05.20.,미정
광주,2024 광주스트릿컬처 페스타,문화예술,06.06~06.09,국립아시아문화전당 일원
광주,2024 광주청년주간,문화예술,9월중,미정
광주,광주국제미술전람회 '아트광주24',문화예술,09.26.~09.29.,김대중컨켄션센터 외
광주,제15회 광주비엔날레,문화예술,09.07.~12.01.,광주비엔날레전시관 및 광주 전역
광주,2024 프린지페스티벌,문화예술,09.27.~09.29.,5·18민주광장 일원
광주,제31회 광주김치축제,전통역사,10월중(예정),광주광역시 일원
광주,제21회 광주 추억의 충장축제,문화예술,10.02.~10.06.,5․18민주광장 및 국립아시아문화전당_ 충장로_ 금남로_ 예술의 거리 등 광주 일원
광주,제3회 광주 버스킹 월드컵,문화예술,10.02.~10.06.,5.18민주광장_ ACC하늘마당 등
광주,2024 광주 문화유산 야행 '돌의 기억',문화예술,04.26.~04.27.,5.18민주광장
 광주,제4회 동명동 커피산책,문화예술,10~12월 중(미정),동명동 카페거리 일원
광주,2024 무등산인문축제,문화예술,06.01.~06.02.,무등산 국립공원 증심사지구 일원
광주,2024 양림&크리스마스 문화축제,문화예술,12.01.~12.31,양림동 일원
광주,제41회 고싸움놀이축제,문화예술,02.23. ~ 02.25.,고싸움놀이테마파크 일원
광주,인문학축제 제13회 굿모닝양림,문화예술,10월중(약2주간),양림동 일원
광주,제9회 광주서창억새축제,생태자연,10월 초,영산강변
광주,제2회 양동통맥축제,기타(주민화합 등),4월 / 3~4주 금_토 ,양동전통시장 일원
광주,제2회 광산뮤직ON페스티벌,문화예술,05.04.~05.05.,황룡친수공원 일원
대전광역시,대청호 봄축제(가칭),생태자연,03.29.~03.31.,벚꽃한터 및 충암누리길 일원
대전광역시,2024년 상소캠핑요리축제,기타,5.18.~5.19.,상소오토캠핑장
대전광역시,문화재 야행 「밤하늘_ 달콤한 문화산책」,문화예술,5.24~5.25.,목척교 수변공원_ 동구 문화유산 5개소
대전광역시,2024 대전광역시 0시 축제,문화예술,8.9.~8.17.,중앙로(대전광역시역~옛 충청남도도청) 일원 1km구간
대전광역시,대전광역시 동구동락 축제,문화예술,10월중,소제동 및 대동천 일원
대전광역시,인쇄UP 아트페스티벌,문화예술,9~10월중,동구 인쇄특화거리
대전광역시,제15회 대전광역시효문화뿌리축제,전통역사,9월~10월중,뿌리공원 및 원도심 일원
대전광역시,2024 대전광역시 서구 아트페스티벌,문화예술,10.11.~10.13.(예정),샘머리공원 및 보라매공원 일원
대전광역시,제14회 녹색체험여행,생태자연,10.04.~10.05.(예정),흑석동 노루벌 일원
대전광역시,2024 유성온천문화축제,문화예술,05.10.~05.12.,유성구 온천로 일원
대전광역시,2024 유성재즈&맥주 페스타,문화예술,08.23.~08.25.,유성구 유림공원
대전광역시,2024 유성온천 크리스마스축제,문화예술,12.06~12.08.,유성구 온천로 일원
대전광역시,2024 대전광역시 K-힙합페스티벌,문화예술,미정,대흥동 우리들공원 일원
대전광역시,2024 대한민국 과학축제,문화예술,4.26.~4.28.,엑스포시민광장_ 엑스포과학공원_ e스포츠경기도장
대전광역시,2024 대전광역시사이언스페스티벌,문화예술,10.18.~10.20.,대전광역시컨벤션센터_ 엑스포시민광장_ 엑스포과학공원
대전광역시,2024 대덕물빛축제,문화예술,03.29.~05.06.,대청공원
대전광역시,제27회 동춘당문화제,전통역사,4.27,동춘당공원일원
대전광역시,2024 대덕거리 맥주페스티벌,문화예술,2024.5월 중(미정),미정
대전광역시,제13회 김호연재 여성문화축제,전통역사,9월중,동춘당공원일원
대전광역시,2024년 제8회 장동계족산 코스모스축제,생태자연,9월~10월중,대덕구 장동 만남공원 일원
울산광역시광역시,2024 울산광역시광역시공업축제,기타(주민화합 등),10.10.~10.13.,울산광역시광역시 관내 전역
울산광역시광역시,울산광역시광역시태화강 대숲납량축제,기타,08.11.~08.14.,태화강 국가정원
울산광역시광역시,울산광역시광역시서머페스티벌,문화예술,8월 중,5개 구군
울산광역시광역시,아시아 퍼시픽 뮤직 페스티벌,문화예술,9월 중,문화예술회관
울산광역시광역시,울산광역시광역시 추억 감성 대향연,기타(주민화합 등),10월 중,태화강국가정원 남구 둔치
울산광역시광역시,제16회 울산광역시광역시대공원 장미축제,생태자연,05.22.~05.26,울산광역시광역시대공원 남문일원
울산광역시광역시,태화강국가정원 봄꽃축제,생태자연,05.17.~05.19.,태화강국가정원
울산광역시광역시,태화강국가정원 가을축제,생태자연,10.25.~10.27.,태화강국가정원
울산광역시광역시,태화강 억새나들이,생태자연,10.21.~10.22.,태화강 명촌 억새군락지
울산광역시광역시,정원생태문화축제,생태자연,4월 중,태화강국가정원 야외공연장
울산광역시광역시,119안전문화축제,문화예술,06.28.~06.29.,UECO(울산광역시광역시전시컨벤션센터)
울산광역시광역시,태화강마두희축제,전통역사,6월 중순,중구 원도심 일원
울산광역시광역시,눈꽃축제,기타(주민화합 등),12월 중,중구 원도심 일원
울산광역시광역시,태화강국제재즈음악제,문화예술,5월 중,태화강 국가정원 야외공연장
울산광역시광역시,반려동물 축제,생태자연,5월 중,문수국제양궁장 및 애견운동공원 일원
울산광역시광역시,2024 삼호 버드페스티벌,생태자연,11.09.~11.10.,태화강국가정원 삼호철새공원 일원
울산광역시광역시,2024 울산광역시광역시 남구 청년 페스타,문화예술,9월 중,삼호철새공원
울산광역시광역시,궁거랑 벚꽃 한마당,기타(문화_관광),3월 중,무거생태하천일원
울산광역시광역시,남구강변영화제,문화예술,8월 중,태화강둔치
울산광역시광역시,태화강 빛 축제,문화예술,9월 중,태화강둔치
울산광역시광역시,그린 차박 페스티벌 in 울산광역시광역시,기타(관광),04.26.~04.28.,장생포 (구)미포조선 부지
울산광역시광역시,장생포 수국페스티벌,기타(관광),6월 중,고래문화마을 일원
울산광역시광역시,장생포 한여름 밤의 호러페스티벌,기타(관광),8월 중,고래문화마을 일원
울산광역시광역시,제28회 울산광역시광역시고래축제,기타(문화_관광),09.26.~09.29.,장생포고래문화특구 일원
울산광역시광역시,제16회 울산광역시광역시조선해양축제,기타,07.19.~07.21.(예정),일산해수욕장
울산광역시광역시,제20회 울산광역시광역시쇠부리축제,전통역사,05.10.~05.12.,달천철장_ 북구청
울산광역시광역시,제24회 울산광역시광역시옹기축제,전통역사,05.04.~05.06.,외고산 옹기마을 일원
울산광역시광역시,2024 울주 트레일 나인피크 대회,기타(스포츠관광),10.24.~10.27.,영남알프스 복합웰컴센터
울산광역시광역시,울주해양레포츠 대축전,기타,08.24.~08.25.,진하해수욕장
울산광역시광역시,언양 한우불고기 축제,특산물,9.~10월(예정),미정
울산광역시광역시,2024년 울산광역시광역시울주세계산악영화제,문화예술,10월 중,영남알프스 복합웰컴센터 일원
울산광역시광역시,간절곶해맞이축제,기타(주민화합 등),12.31.~25.01.01.,서생 간절곶 일원
울산광역시광역시,제13회 우시산국축제,전통역사,미정,미정
울산광역시광역시,울산광역시광역시배축제,특산물,10월 중,울산광역시광역시원예농협 하나로마트 일원
울산광역시광역시,제5회 울산광역시광역시 작천정 벚꽃축제,생태자연,3.~4월(벚꽃개화시기에 따라 기간 확정),울주군 삼남읍 교동리 일원
울산광역시광역시,울주음식문화축제,기타(음식),10월 중,미정
세종시,제22회 세종시조치원복숭아축제,특산물,7월말~8월초,조치원읍 일원
세종시,2024 세종시축제,문화예술,10.9.~10.12.,세종시호수공원_ 세종시중앙공원
세종시,제17회 세종시전의조경수묘목축제,생태자연,3.01.~5.31.,세종시전의묘목플랫폼
세종시,2024 조치원 봄꽃축제,생태자연,5.11~5.12.,조치원읍 일원
경기도,제61회 수원화성문화제,문화예술_ 전통역사,10.4.~10.6.,수원화성
경기도,정조대왕 능행차 공동재현,문화예술_ 전통역사,10.5.~10.6.,수원화성
경기도,수원화성 미디어아트,문화예술_ 전통역사,9.28.~10.20.,수원화성
경기도,제10회 경기도공연예술페스타,문화예술,01.25.~01.28.,용인포은아트홀 외
경기도,제19회 포은문화제,전통역사,10.05.~10.06.,포은 정몽주선생 묘역 
경기도,제10회 백암 백중문화제,기타(주민화합 등),08.24.~08.25.,백암면 전통시장
경기도,제8회 정평천 벚꽃 문화 민속 축제,기타(주민화합 등), 04.05.~04.06.,정평천 일대 
경기도,제24회 용인사이버과학축제,기타(주민화합 등),09.28.~09.29.,용인미르스타디움
경기도,제36회 고양행주문화제,문화예술_ 전통역사,5.17.~5.19.,행주산성_ 행주산성 역사공원 일원
경기도,2024 고양호수예술축제,문화예술,10.11.~10.13.,일산호수공원_ 일산문화광장 일원
경기도,제4회 행주가 예술이야,문화예술_ 전통역사,09.27.~10.13.,행주산성
경기도,2024고양국제꽃박람회,문화예술_ 생태자연_ 특산물,4.26.~5.12.,일산호수공원
경기도,2024 성남페스티벌,과학문화예술,10.3.~10.6.(예정),성남 일원
경기도,GXG 2024 성남게임문화축제,문화예술,9월중(예정),판교역 광장 등
경기도,제10회 복정 어울림 빛 축제,기타(주민화합 등),2024.12월 중,복정동 분수광장 일대
경기도,제14회 화성뱃놀이 축제,생태자연,5.31.~6.2.,전곡항 일원
경기도,세계인의 날 기념식 및 문화다양성축제,문화예술,5.25~5.26,화성종합경기도타운
경기도,제14회 화성뱃놀이 축제,생태자연,5.31.~6.2.,전곡항 일원
경기도,2024 제16회 품앗이 공연예술축제,문화예술,8.23.~8.25.,민들레연극마을
경기도,제10회 화성송산포도축제,특산물,9.7.~9.8.,서신 궁평항 일원_ 동탄호수공원(예정)
경기도,"제1회 화성시 도서관 축제 ""북페스티벌""",문화예술,9.28.~9.29.,화성시립남양도서관 및 남양역사문화공원
경기도,제2회 화성시 도농 어울림 축제,특산물,9.28.~9.29.,동탄여울공원
경기도,2024 정조효문화제 및 정조대왕 능행차,전통역사,10.5.~10.6.,정조효공원 등
경기도,제2회 화성루나빛축제,문화예술,10.26.~11.1.,동탄호수공원 운답원 일원
경기도,제27회 부천국제만화축제,문화예술,10.3.~10.6.,부천시청_ 한국만화박물관 등
경기도,제8회 국제코스프레 페스티벌,문화예술,10.3.~10.6.,부천시청_ 한국만화박물관 등
경기도,제26회 부천국제애니메이션페스티벌,문화예술,10.25.~10.29.,부천시청_ 한국만화박물관 등
경기도,제28회 부천국제판타스틱영화제,문화예술,7.4.~7.14.,부천시청_ 부천아트센터 등
경기도,제39회 복사골예술제,문화예술,5.3.~5.5.,시청 잔디광장_ 중앙공원 등
경기도,제24회 진달래축제,생태자연,3.30~31.(예정),춘의동(원미산) 일원
경기도,제26회 부천 도당산 벚꽃축제,문화예술,3.30.~3.31.(예정),도당동(도당산 벚꽃동산) 일원
경기도,제3회 부천건축문화제,문화예술,10월 중(3일간),삼정동 일원
경기도,제19회 광릉숲축제,문화예술,9. 28. ~ 29.,남양주시 진접읍 광릉숲 일원
경기도,제38회 다산정약용문화제,문화예술,10. 11. ~ 12.,남양주시 조안면 정약용유적지 일원
경기도,제20회 안산국제거리극축제,문화예술,5.4.~5.6.,안산문화광장 및 안산호수공원
경기도,제27회 성호문화제,문화예술,5. 25 ~ 5. 26.,성호공원 일원
경기도,제38회 별망성예술제,문화예술,9.7.~9.8.,안산선부광장
경기도,2024년 안산대부포도축제,특산물,9월 중,대부바다향기테마파크
경기도,제5회 김홍도 축제,전통역사,10. 4. ~ 6.,화랑유원지 일원
경기도,2025 안산 천년의 종 타종행사,기타(주민화합 등),12. 31. ~ 1. 1.,화랑유원지 일원
경기도,평택호 물빛축제,문화예술,9월중(2일간),평택호
경기도,한미 어울림 축제,문화예술,10월 중(2일간),미군부대 앞 거리
경기도,한미친선 한마음 축제,문화예술,5월 중(2일간),안정리 로데오 거리
경기도,한미친선 문화 한마당,문화예술,10월 중(2일간),신장쇼핑몰
경기도,할로윈축제(신장),문화예술,10월 말,신장쇼핑몰
경기도,할로윈축제(팽성),문화예술,10월 말,안정리 로데오 거리
경기도,평택 꽃 나들이,문화예술,2024. 4. 20.~2024. 4. 24.,평택시농업생태원 일원
경기도,평택 가을 수확축제,문화예술,2024. 10. 중,평택시농업생태원 일원
경기도,송탄관광특구 한마음대축제,기타(주민화합 등),9월 중,서정동 관광특구로 일대
경기도,안양충훈벚꽃축제,생태자연,4월 중(2일간),석수3동 충훈2교 일대
경기도,안양춤축제(안양시민축제),기타(주민화합 등),9월 중(3일~5일간),평촌중앙공원 등
경기도,안양1번가 넘버원 페스티벌,기타(주민화합 등),11월중(3일간),안양1번가 일원
경기도,제33회 안양예술제,예술축제,5월중(2일간),평촌중앙공원
경기도,제19회 시흥갯골축제,생태자연,9월중 3일,시흥갯골생태공원
